"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"02/26/2022","NY","Brooklyn","Under investigation","A 74-year-old woman died in an apartment fire.","Female","74","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.amny.com/new-york/brooklyn/senior-woman-killed-in-three-alarm-brooklyn-fire-nypd/"
"02/21/2022","NY","Scriba","Under investigation","One person died in an apartment fire.","Unknown","Unknown","Unknown","","N","Multifamily","Not reported","https://www.syracuse.com/crime/2022/02/one-person-found-dead-during-oswego-county-apartment-fire.html"
"02/21/2022","NY","Gorham","Under investigation","A 68-year-old man died in a house fire (date of death 2/22/2022).","Male","68","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://spectrumlocalnews.com/nys/rochester/public-safety/2022/02/24/man-dies-after-being-pulled-from-house-fire-in-gorham"
"02/20/2022","NY","Lisbon","Under investigation","A 75 year old man died in a mobile home fire.","Male","75","Older adults (65 and older)","","N","1 & 2 family mobile","Not reported","https://www.wwnytv.com/2022/02/24/man-dies-fire-lisbon-over-weekend/"
"02/19/2022","NY","Pelham","Under investigation","A man died in an apartment fire.","Male","Unknown","Unknown","","N","Multifamily","Not reported","https://bronx.news12.com/fire-official-man-dies-in-apartment-fire-in-pelham"
"02/18/2022","NY","Setauket","Under investigation","A 31-year-old woman died in a house fire.","Female","31","Unknown","","N","1 & 2 family
","Not reported","https://pix11.com/news/local-news/mother-dies-but-her-husband-and-10-month-old-baby-survive-li-house-fire-intensified-by-high-winds/"
"02/16/2022","NY","Somers","Under investigation","A 74 year old woman died in a house fire.","Female","74","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://news.hamlethub.com/somers/life/7313-victim-in-fatal-fire-in-somers-identified"
"02/15/2022","NY","Lincoln Square (Manhattan)","Under investigation","A man died in an apartment fire.","Male","Unknown","Unknown","","N","Multifamily","Not reported","https://www.amny.com/new-york/manhattan/man-dies-after-lincoln-square-fire-rips-through-apartment/"
"02/15/2022","NY","Annsville (Oneida County)","Under investigation","A 76-year-old man died in a house fire.","Male","76","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.localsyr.com/regional-news/fatal-annsville-fire-victim-has-been-identified/"
"02/14/2022","NY","Buffalo","Under investigation","A 31-year-old mother and her 7-month old daughter died during a house fire.","Female","1","Children (14 and under)","1 of 2","N","1 & 2 family
","Not reported","https://www.wivb.com/news/local-news/buffalo/mother-daughter-dead-after-fire-breaks-out-on-weiss-street/"
"02/14/2022","NY","Buffalo","Under investigation","A 31-year-old mother and her 7-month old daughter died during a house fire.","Female","31","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://www.wivb.com/news/local-news/buffalo/mother-daughter-dead-after-fire-breaks-out-on-weiss-street/"
"02/14/2022","NY","Gilbertsville","Under investigation","A 64-year-old woman died in a house fire.","Female","64","Unknown","","N","1 & 2 family
","Not reported","https://www.wktv.com/news/fatal-fire-in-gilbertsville/article_47bf17b8-8e16-11ec-ab8a-035cb584d967.html"
"02/13/2022","NY","New Windsor","Under investigation","A 60-year-old man died in a house fire.","Male","60","Unknown","","N","1 & 2 family
","Not reported","https://midhudsonnews.com/2022/02/14/new-windsor-house-fire-claims-one-life/"
"02/07/2022","NY","Brooklyn","Under investigation","Two people died in a building fire.","Unknown","Unknown","Unknown","1 of 2","N","Multifamily","Not reported","https://www.firehouse.com/operations-training/video/21256313/two-found-dead-after-2alarm-fire-in-brooklyn-fdny"
